Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
18/02/2021,87.91653442,11.81055546,24.52000046,13.13156986,330.5415039,19.80500031,36.69148254,40.93957901,12.40999985,42.15029907,1377.612183,137.7346649,181.2978058,50.44963074,126.4240341,19.05999947,95.40937042,86.74139404,219.7710114,31.27696037,77.51892853,63.56705093,68.09017181,102.0702667,42.6578331,301.5791931,140.8083191,100.5728226,32.52926636,38.75867081,58.98569489
19/02/2021,89.770401,12.09934616,24.75,13.06481552,331.9540405,19.39640045,36.7202034,40.7589035,12.93000031,41.42339706,1376.828491,138.7173157,178.6724396,49.60864258,124.6106491,19.01000023,92.89489746,90.23831177,219.8283844,31.20522118,76.96943665,63.34718704,69.34871674,102.8292236,42.79075241,303.9480896,139.8526764,101.5420456,32.32257843,38.92782974,61.01562881
22/02/2021,87.19509888,11.67113876,24.82999992,12.99806118,330.1299438,19.44447327,35.51406097,40.09946442,13.09000015,40.12677002,1368.197998,138.9485168,179.9033508,47.60766983,121.4076767,18.25,93.17525482,97.35609436,218.6526184,31.01691628,76.27009583,61.29201508,68.05342102,102.2304916,41.84132767,301.9290161,135.9944305,101.886261,31.67297745,38.55964661,59.14260101
23/02/2021,87.2681427,11.45205593,24.82999992,12.89316177,345.5086975,20.0052948,36.4043045,39.03351593,13.28999996,39.7829628,1368.158325,137.2626038,182.6492462,49.16398239,128.0501404,18.65999985,96.61840057,95.86880493,215.1635742,30.12918091,74.89638519,61.95158386,67.33687592,104.8362198,42.09767151,300.5996399,140.1563416,100.8083344,31.38754654,39.70400238,61.53536987
24/02/2021,86.74760437,11.35247326,24.67000008,12.79779816,355.1345215,19.62073326,37.19882584,37.90433884,14.01000023,40.92242813,1372.830688,137.9080505,183.3809052,48.55498886,131.5487976,18.47999954,95.61087799,93.39685822,215.4790192,30.07537842,75.28768921,61.08172226,67.23582458,103.9760742,43.15153503,301.3392944,139.6829834,101.8681412,31.78124428,39.25621414,60.34879303
25/02/2021,86.50102997,11.25289059,24.31999969,12.89316177,361.280426,19.27622604,36.50003052,37.81400299,13.65999985,40.10712433,1372.920044,137.6383057,178.1990204,47.58833694,130.4055939,18.07999992,91.11637878,89.33963013,214.3128204,30.04847908,74.06383514,59.25596237,66.68463135,102.1208649,44.57567978,288.8451538,136.4142151,102.3663406,30.33440399,38.9377861,58.45615387
26/02/2021,86.54669952,11.34251499,25.44000053,12.76918888,366.1634827,19.25219345,37.62001419,38.70831299,13.93999958,42.38605118,1374.755127,137.8984375,182.175827,50.11130524,128.9174194,18.86000061,92.0450592,88.9634552,217.9643555,29.99467659,73.08974457,60.53686142,66.36310577,102.3401108,46.32262421,287.0159912,137.4323425,103.0728836,30.63952065,39.29601669,58.52479172
01/03/2021,87.2681427,11.44209766,27.17000008,12.79779816,357.4638062,19.46850967,38.00291824,38.12114334,14.06999969,42.39587021,1372.800903,138.486084,184.1728516,50.30463028,130.0606537,18.51000023,92.29037476,89.01719666,218.9011383,30.82861137,74.11378479,60.62288666,66.47335052,106.6155319,45.8574028,288.0055237,139.2275085,102.7920761,30.35408974,39.72389603,59.3681488
02/03/2021,88.39141846,11.42218113,27.45000076,12.91223431,360.1766052,19.86909294,38.85487747,38.6902504,14.36999989,43.94789886,1370.856567,140.2105255,189.1911774,50.89428711,129.5777283,18.64999962,94.44563293,94.73134613,222.8776855,30.61340141,75.75391388,61.54055023,66.14263153,110.4608841,47.40497208,288.6552429,138.495163,104.9932175,30.92495155,40.30105209,60.17227173
03/03/2021,88.62885284,11.68109703,26.56999969,13.12203312,358.8482361,19.86108398,39.04632568,39.58455658,15.18000031,43.45675278,1369.37854,140.7693024,194.9412079,51.48394394,132.5934448,18.85000038,98.84375,93.11023712,223.4225464,31.22315788,77.40237427,61.24422073,66.6662674,113.3280106,47.47143936,292.2435608,139.7455139,103.0275879,31.00369072,40.0423317,61.8982048
