Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LIVEPOLC-1.MX,MEGACPO.MX,MXN.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
2021-01-29,84.99420166015625,12.846219062805176,23.110000610351562,13.03620719909668,301.7109375,19.837047576904297,36.87335968017578,41.55384826660156,11.760000228881836,42.955780029296875,1374.923828125,134.5843963623047,177.83746337890625,49.86963653564453,128.53306579589844,18.280000686645508,88.98741912841797,77.76448059082031,215.13490295410156,32.11089324951172,74.03053283691406,62.6207160949707,68.09017181396484,,102.0280990600586,41.945762634277344,306.6068420410156,137.5930938720703,97.57457733154297,30.501726150512695,38.460140228271484,57.22053909301758
2021-02-02,86.19966888427734,11.979846954345703,23.709999084472656,13.064815521240234,314.5827331542969,19.684825897216797,38.3475341796875,42.45719528198242,12.520000457763672,43.997013092041016,1383.0086669921875,133.49578857421875,182.65785217285156,50.55595779418945,126.4930191040039,19.010000228881836,90.50309753417969,80.95154571533203,219.86659240722656,32.299198150634766,75.4958267211914,62.08540344238281,71.45242309570312,,102.90511322021484,43.83512496948242,329.9459533691406,138.5933837890625,98.9604721069336,31.643451690673828,38.38053512573242,58.41692352294922
2021-02-03,85.68826293945312,12.1192626953125,23.8799991607666,13.007597923278809,313.8063049316406,20.301729202270508,38.433685302734375,42.56559371948242,12.890000343322754,43.93807601928711,1383.5740966796875,132.86956787109375,179.90335083007812,50.594627380371094,127.11389923095703,19.100000381469727,93.5782699584961,80.69481658935547,221.2908935546875,32.7116813659668,75.13783264160156,63.184688568115234,71.98523712158203,,101.31131744384766,43.293949127197266,321.4399108886719,140.12954711914062,99.30467987060547,31.92888069152832,40.21150207519531,57.24995803833008
2021-02-04,88.25443267822266,12.29851245880127,24.040000915527344,13.322297096252441,314.1336975097656,20.301729202270508,38.280521392822266,42.150054931640625,13.010000228881836,43.86931610107422,1382.7308349609375,134.9215850830078,180.4628448486328,52.353939056396484,128.15855407714844,19.690000534057617,94.23536682128906,77.8176040649414,220.0864715576172,32.137794494628906,74.33025360107422,62.41041564941406,71.07577514648438,,102.01123046875,42.62935256958008,313.143798828125,137.87890625,100.02027893066406,32.26352310180664,39.24626159667969,58.564022064208984
2021-02-05,86.51016998291016,12.308470726013184,23.770000457763672,13.055278778076172,320.6163635253906,19.957223892211914,37.85933303833008,42.45719528198242,12.90999984741211,42.955780029296875,1379.28857421875,134.77706909179688,182.33074951171875,51.93827819824219,126.97592163085938,19.469999313354492,96.10150146484375,77.43692779541016,222.2754669189453,31.438369750976562,75.17945098876953,62.34349822998047,72.22408294677734,,103.1243667602539,41.30963897705078,315.0928649902344,138.08432006835938,100.43695068359375,32.93280792236328,39.10694885253906,59.25046920776367
2021-02-08,84.93028259277344,12.009721755981445,23.3799991607666,13.007597923278809,326.425537109375,19.67681312561035,37.80189895629883,42.47526168823242,12.869999885559082,42.82807922363281,1387.6214599609375,133.44761657714844,182.44265747070312,50.11130142211914,126.2958984375,19.100000381469727,96.41690063476562,79.6678695678711,219.90484619140625,31.581838607788086,74.3885269165039,63.01262283325195,72.29756927490234,,103.55442810058594,41.59447479248047,310.55499267578125,136.5392303466797,100.34637451171875,33.36587905883789,39.06714630126953,59.47602081298828
2021-02-09,87.20421600341797,12.188970565795898,23.56999969482422,13.236470222473145,325.9017028808594,20.24564552307129,38.00292205810547,42.312660217285156,12.800000190734863,44.46851348876953,1382.453125,135.86569213867188,180.55755615234375,51.648277282714844,126.57185363769531,19.920000076293945,100.40323638916016,82.47425842285156,223.77622985839844,33.016563415527344,75.20443725585938,64.97221374511719,72.00360107421875,,102.80391693115234,42.259071350097656,314.0333557128906,138.9417266845703,100.79927825927734,34.015480041503906,38.55965042114258,61.17253494262695
2021-02-10,85.57866668701172,12.059513092041016,23.969999313354492,13.160179138183594,321.25250244140625,20.173542022705078,37.964630126953125,42.61075973510742,12.739999771118164,45.92231369018555,1376.5308837890625,136.11618041992188,180.0583038330078,52.373268127441406,124.2854232788086,19.899999618530273,98.57215118408203,81.40303802490234,220.06735229492188,32.44267272949219,75.0046157836914,65.4310302734375,71.50753784179688,,102.77861022949219,42.34452438354492,313.3337097167969,137.67347717285156,102.6652603149414,34.468231201171875,38.7188606262207,60.14285659790039
2021-02-11,85.11293029785156,12.059513092041016,23.920000076293945,12.921770095825195,315.714599609375,19.64476776123047,37.5242919921875,41.093143463134766,13.270000457763672,44.24258804321289,1373.8028564453125,132.39752197265625,174.84194946289062,50.44962692260742,126.11851501464844,19.270000457763672,95.97007751464844,79.65016174316406,219.8761749267578,31.26799201965332,73.67253112792969,64.2361831665039,69.84478759765625,,101.72451782226562,41.60396957397461,304.84765625,135.82472229003906,101.99495697021484,34.53712463378906,38.350677490234375,59.15240478515625
2021-02-12,85.0216064453125,12.009721755981445,24.34000015258789,13.207860946655273,317.53875732421875,19.75693130493164,37.48600387573242,42.005523681640625,13.270000457763672,45.136474609375,1373.1282958984375,133.7847900390625,174.49765014648438,50.70096206665039,127.37014770507812,19.6200008392334,96.22415924072266,78.07432556152344,221.17617797851562,31.868785858154297,74.52173614501953,62.926605224609375,69.89990234375,,101.23542022705078,41.395084381103516,304.5378112792969,136.95899963378906,101.71415710449219,33.41508865356445,37.8531379699707,59.65253829956055
